,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For,Goals Against,+/-
53,Montreal Canadiens,1992,48,30,0,0.571,326,280,46
54,New Jersey Devils,1992,40,37,0,0.476,308,299,9
55,New York Islanders,1992,40,37,0,0.476,335,297,38
56,New York Rangers,1992,34,39,0,0.405,304,308,-4
57,Ottawa Senators,1992,10,70,0,0.119,202,395,-193
58,Philadelphia Flyers,1992,36,37,0,0.429,319,319,0
59,Pittsburgh Penguins,1992,56,21,0,0.667,367,268,99
60,Quebec Nordiques,1992,47,27,0,0.56,351,300,51
61,San Jose Sharks,1992,11,71,0,0.131,218,414,-196
62,St. Louis Blues,1992,37,36,0,0.44,282,278,4
63,Tampa Bay Lightning,1992,23,54,0,0.274,245,332,-87
64,Toronto Maple Leafs,1992,44,29,0,0.524,288,241,47
65,Vancouver Canucks,1992,46,29,0,0.548,346,278,68
66,Washington Capitals,1992,43,34,0,0.512,325,286,39
67,Winnipeg Jets,1992,40,37,0,0.476,322,320,2
68,Mighty Ducks of Anaheim,1993,33,46,0,0.393,229,251,-22
69,Boston Bruins,1993,42,29,0,0.5,289,252,37
70,Buffalo Sabres,1993,43,32,0,0.512,282,218,64
71,Calgary Flames,1993,42,29,0,0.5,302,256,46
72,Chicago Blackhawks,1993,39,36,0,0.464,254,240,14
73,Dallas Stars,1993,42,29,0,0.5,286,265,21
74,Detroit Red Wings,1993,46,30,0,0.548,356,275,81
75,Edmonton Oilers,1993,25,45,0,0.298,261,305,-44
76,Florida Panthers,1993,33,34,0,0.393,233,233,0
77,Hartford Whalers,1993,27,48,0,0.321,227,288,-61
78,Los Angeles Kings,1993,27,45,0,0.321,294,322,-28
79,Montreal Canadiens,1993,41,29,0,0.488,283,248,35
80,New Jersey Devils,1993,47,25,0,0.56,306,220,86
81,New York Islanders,1993,36,36,0,0.429,282,264,18
82,New York Rangers,1993,52,24,0,0.619,299,231,68
83,Ottawa Senators,1993,14,61,0,0.167,201,397,-196
84,Philadelphia Flyers,1993,35,39,0,0.417,294,314,-20
85,Pittsburgh Penguins,1993,44,27,0,0.524,299,285,14
86,Quebec Nordiques,1993,34,42,0,0.405,277,292,-15
87,San Jose Sharks,1993,33,35,0,0.393,252,265,-13
88,St. Louis Blues,1993,40,33,0,0.476,270,283,-13
89,Tampa Bay Lightning,1993,30,43,0,0.357,224,251,-27
90,Toronto Maple Leafs,1993,43,29,0,0.512,280,243,37
91,Vancouver Canucks,1993,41,40,0,0.488,279,276,3
92,Washington Capitals,1993,39,35,0,0.464,277,263,14
93,Winnipeg Jets,1993,24,51,0,0.286,245,344,-99
94,Mighty Ducks of Anaheim,1994,16,27,0,0.333,125,164,-39
95,Boston Bruins,1994,27,18,0,0.562,150,127,23
96,Buffalo Sabres,1994,22,19,0,0.458,130,119,11
97,Calgary Flames,1994,24,17,0,0.5,163,135,28
98,Chicago Blackhawks,1994,24,19,0,0.5,156,115,41
99,Dallas Stars,1994,17,23,0,0.354,136,135,1
100,Detroit Red Wings,1994,33,11,0,0.688,180,117,63
101,Edmonton Oilers,1994,17,27,0,0.354,136,183,-47
102,Florida Panthers,1994,20,22,0,0.417,115,127,-12
103,Hartford Whalers,1994,19,24,0,0.396,127,141,-14
104,Los Angeles Kings,1994,16,23,0,0.333,142,174,-32
105,Montreal Canadiens,1994,18,23,0,0.375,125,148,-23
106,New Jersey Devils,1994,22,18,0,0.458,136,121,15
107,New York Islanders,1994,15,28,0,0.312,126,158,-32
108,New York Rangers,1994,22,23,0,0.458,139,134,5
109,Ottawa Senators,1994,9,34,0,0.188,117,174,-57
110,Philadelphia Flyers,1994,28,16,0,0.583,150,132,18
111,Pittsburgh Penguins,1994,29,16,0,0.604,181,158,23
112,Quebec Nordiques,1994,30,13,0,0.625,185,134,51
113,San Jose Sharks,1994,19,25,0,0.396,129,161,-32
114,St. Louis Blues,1994,28,15,0,0.583,178,135,43
115,Tampa Bay Lightning,1994,17,28,0,0.354,120,144,-24
116,Toronto Maple Leafs,1994,21,19,0,0.438,135,146,-11
117,Vancouver Canucks,1994,18,18,0,0.375,153,148,5
118,Washington Capitals,1994,22,18,0,0.458,136,120,16
119,Winnipeg Jets,1994,16,25,0,0.333,157,177,-20
120,Mighty Ducks of Anaheim,1995,35,39,0,0.427,234,247,-13
121,Boston Bruins,1995,40,31,0,0.488,282,269,13
122,Buffalo Sabres,1995,33,42,0,0.402,247,262,-15
123,Calgary Flames,1995,34,37,0,0.415,241,240,1
124,Chicago Blackhawks,1995,40,28,0,0.488,273,220,53
125,Colorado Avalanche,1995,47,25,0,0.573,326,240,86
126,Dallas Stars,1995,26,42,0,0.317,227,280,-53
127,Detroit Red Wings,1995,62,13,0,0.756,325,181,144
128,Edmonton Oilers,1995,30,44,0,0.366,240,304,-64
129,Florida Panthers,1995,41,31,0,0.5,254,234,20
130,Hartford Whalers,1995,34,39,0,0.415,237,259,-22
131,Los Angeles Kings,1995,24,40,0,0.293,256,302,-46
132,Montreal Canadiens,1995,40,32,0,0.488,265,248,17
133,New Jersey Devils,1995,37,33,0,0.451,215,202,13
134,New York Islanders,1995,22,50,0,0.268,229,315,-86
135,New York Rangers,1995,41,27,0,0.5,272,237,35
136,Ottawa Senators,1995,18,59,0,0.22,191,291,-100
137,Philadelphia Flyers,1995,45,24,0,0.549,282,208,74
138,Pittsburgh Penguins,1995,49,29,0,0.598,362,284,78
139,San Jose Sharks,1995,20,55,0,0.244,252,357,-105
140,St. Louis Blues,1995,32,34,0,0.39,219,248,-29
141,Tampa Bay Lightning,1995,38,32,0,0.463,238,248,-10
142,Toronto Maple Leafs,1995,34,36,0,0.415,247,252,-5
143,Vancouver Canucks,1995,32,35,0,0.39,278,278,0
144,Washington Capitals,1995,39,32,0,0.476,234,204,30
145,Winnipeg Jets,1995,36,40,0,0.439,275,291,-16
146,Mighty Ducks of Anaheim,1996,36,33,0,0.439,245,233,12
147,Boston Bruins,1996,26,47,0,0.317,234,300,-66
148,Buffalo Sabres,1996,40,30,0,0.488,237,208,29
149,Calgary Flames,1996,32,41,0,0.39,214,239,-25
150,Chicago Blackhawks,1996,34,35,0,0.415,223,210,13
151,Colorado Avalanche,1996,49,24,0,0.598,277,205,72
152,Dallas Stars,1996,48,26,0,0.585,252,198,54
153,Detroit Red Wings,1996,38,26,0,0.463,253,197,56
154,Edmonton Oilers,1996,36,37,0,0.439,252,247,5
155,Florida Panthers,1996,35,28,0,0.427,221,201,20
156,Hartford Whalers,1996,32,39,0,0.39,226,256,-30
157,Los Angeles Kings,1996,28,43,0,0.341,214,268,-54
158,Montreal Canadiens,1996,31,36,0,0.378,249,276,-27
159,New Jersey Devils,1996,45,23,0,0.549,231,182,49
160,New York Islanders,1996,29,41,0,0.354,240,250,-10
161,New York Rangers,1996,38,34,0,0.463,258,231,27
162,Ottawa Senators,1996,31,36,0,0.378,226,234,-8
163,Philadelphia Flyers,1996,45,24,0,0.549,274,217,57
164,Phoenix Coyotes,1996,38,37,0,0.463,240,243,-3
165,Pittsburgh Penguins,1996,38,36,0,0.463,285,280,5
166,San Jose Sharks,1996,27,47,0,0.329,211,278,-67
167,St. Louis Blues,1996,36,35,0,0.439,236,239,-3
168,Tampa Bay Lightning,1996,32,40,0,0.39,217,247,-30
169,Toronto Maple Leafs,1996,30,44,0,0.366,230,273,-43
170,Vancouver Canucks,1996,35,40,0,0.427,257,273,-16
171,Washington Capitals,1996,33,40,0,0.402,214,231,-17
172,Mighty Ducks of Anaheim,1997,26,43,0,0.317,205,261,-56
173,Boston Bruins,1997,39,30,0,0.476,221,194,27
174,Buffalo Sabres,1997,36,29,0,0.439,211,187,24
175,Calgary Flames,1997,26,41,0,0.317,217,252,-35
176,Carolina Hurricanes,1997,33,41,0,0.402,200,219,-19
177,Chicago Blackhawks,1997,30,39,0,0.366,192,199,-7
178,Colorado Avalanche,1997,39,26,0,0.476,231,205,26
179,Dallas Stars,1997,49,22,0,0.598,242,167,75
180,Detroit Red Wings,1997,44,23,0,0.537,250,196,54
181,Edmonton Oilers,1997,35,37,0,0.427,215,224,-9
182,Florida Panthers,1997,24,43,0,0.293,203,256,-53
183,Los Angeles Kings,1997,38,33,0,0.463,227,225,2
184,Montreal Canadiens,1997,37,32,0,0.451,235,208,27
185,New Jersey Devils,1997,48,23,0,0.585,225,166,59
186,New York Islanders,1997,30,41,0,0.366,212,225,-13
187,New York Rangers,1997,25,39,0,0.305,197,231,-34
188,Ottawa Senators,1997,34,33,0,0.415,193,200,-7
189,Philadelphia Flyers,1997,42,29,0,0.512,242,193,49
190,Phoenix Coyotes,1997,35,35,0,0.427,224,227,-3
191,Pittsburgh Penguins,1997,40,24,0,0.488,228,188,40
192,San Jose Sharks,1997,34,38,0,0.415,210,216,-6
193,St. Louis Blues,1997,45,29,0,0.549,256,204,52
194,Tampa Bay Lightning,1997,17,55,0,0.207,151,269,-118
195,Toronto Maple Leafs,1997,30,43,0,0.366,194,237,-43
196,Vancouver Canucks,1997,25,43,0,0.305,224,273,-49
197,Washington Capitals,1997,40,30,0,0.488,219,202,17
198,Mighty Ducks of Anaheim,1998,35,34,0,0.427,215,206,9
199,Boston Bruins,1998,39,30,0,0.476,214,181,33
200,Buffalo Sabres,1998,37,28,0,0.451,207,175,32
