,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For,Goals Against,+/-
289,Columbus Blue Jackets,2001,22,47,50,0.268,164,255,-91
290,Chicago Blackhawks,2001,41,27,10,0.5,216,207,9
291,Colorado Avalanche,2001,45,28,10,0.549,212,169,43
292,Dallas Stars,2001,36,28,50,0.439,215,213,2
293,Detroit Red Wings,2001,51,17,40,0.622,251,187,64
294,Edmonton Oilers,2001,38,28,40,0.463,205,182,23
295,Florida Panthers,2001,22,44,60,0.268,180,250,-70
296,Los Angeles Kings,2001,40,27,40,0.488,214,190,24
297,Minnesota Wild,2001,26,35,90,0.317,195,238,-43
298,Montreal Canadiens,2001,36,31,30,0.439,207,209,-2
299,Nashville Predators,2001,28,41,0,0.341,196,230,-34
300,New Jersey Devils,2001,41,28,40,0.5,205,187,18
301,New York Islanders,2001,42,28,40,0.512,239,220,19
302,New York Rangers,2001,36,38,40,0.439,227,258,-31
303,Ottawa Senators,2001,39,27,70,0.476,243,208,35
304,Philadelphia Flyers,2001,42,27,30,0.512,234,192,42
305,Phoenix Coyotes,2001,40,27,60,0.488,228,210,18
306,Pittsburgh Penguins,2001,28,41,50,0.341,198,249,-51
307,San Jose Sharks,2001,44,27,30,0.537,248,199,49
308,St. Louis Blues,2001,43,27,40,0.524,227,188,39
309,Tampa Bay Lightning,2001,27,40,40,0.329,178,219,-41
310,Toronto Maple Leafs,2001,43,25,40,0.524,249,207,42
311,Vancouver Canucks,2001,42,30,30,0.512,254,211,43
312,Washington Capitals,2001,36,33,20,0.439,228,240,-12
313,Mighty Ducks of Anaheim,2002,40,27,60,0.488,203,193,10
314,Atlanta Thrashers,2002,31,39,50,0.378,226,284,-58
315,Boston Bruins,2002,36,31,40,0.439,245,237,8
316,Buffalo Sabres,2002,27,37,80,0.329,190,219,-29
317,Calgary Flames,2002,29,36,40,0.354,186,228,-42
318,Carolina Hurricanes,2002,22,43,60,0.268,171,240,-69
319,Columbus Blue Jackets,2002,29,42,30,0.354,213,263,-50
320,Chicago Blackhawks,2002,30,33,60,0.366,207,226,-19
321,Colorado Avalanche,2002,42,19,80,0.512,251,194,57
322,Dallas Stars,2002,46,17,40,0.561,245,169,76
323,Detroit Red Wings,2002,48,20,40,0.585,269,203,66
324,Edmonton Oilers,2002,36,26,90,0.439,231,230,1
325,Florida Panthers,2002,24,36,90,0.293,176,237,-61
326,Los Angeles Kings,2002,33,37,60,0.402,203,221,-18
327,Minnesota Wild,2002,42,29,10,0.512,198,178,20
328,Montreal Canadiens,2002,30,35,90,0.366,206,234,-28
